"Libellé";"Dépenses de consommation des ménages - Total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes"
"1967-T4";"91726";"A"
"1967-T3";"91076";"A"
"1967-T2";"89997";"A"
"1967-T1";"89307";"A"
"1966-T4";"87954";"A"
"1966-T3";"86458";"A"
"1966-T2";"86031";"A"
"1966-T1";"84414";"A"
"1965-T4";"83626";"A"
"1965-T3";"83417";"A"
"1965-T2";"81995";"A"
"1965-T1";"80034";"A"
"1964-T4";"80246";"A"
"1964-T3";"79305";"A"
"1964-T2";"78706";"A"
"1964-T1";"78587";"A"
"1963-T4";"77078";"A"
"1963-T3";"76103";"A"
"1963-T2";"74644";"A"
"1963-T1";"72522";"A"
"1962-T4";"71330";"A"
"1962-T3";"70666";"A"
"1962-T2";"69514";"A"
"1962-T1";"68425";"A"
"1961-T4";"66329";"A"
"1961-T3";"65522";"A"
"1961-T2";"64959";"A"
"1961-T1";"64381";"A"
"1960-T4";"62838";"A"
"1960-T3";"61828";"A"
"1960-T2";"61238";"A"
"1960-T1";"60391";"A"
"1959-T4";"59227";"A"
"1959-T3";"58761";"A"
"1959-T2";"58348";"A"
"1959-T1";"58501";"A"
"1958-T4";"57982";"A"
"1958-T3";"57022";"A"
"1958-T2";"57284";"A"
"1958-T1";"57227";"A"
"1957-T4";"57862";"A"
"1957-T3";"57658";"A"
"1957-T2";"57063";"A"
"1957-T1";"56267";"A"
"1956-T4";"55896";"A"
"1956-T3";"55148";"A"
"1956-T2";"54162";"A"
"1956-T1";"53296";"A"
"1955-T4";"52260";"A"
"1955-T3";"51453";"A"
"1955-T2";"50798";"A"
"1955-T1";"49640";"A"
"1954-T4";"48833";"A"
"1954-T3";"48739";"A"
"1954-T2";"48308";"A"
"1954-T1";"47864";"A"
"1953-T4";"47313";"A"
"1953-T3";"46812";"A"
"1953-T2";"46593";"A"
"1953-T1";"45819";"A"
"1952-T4";"45093";"A"
"1952-T3";"44582";"A"
"1952-T2";"44146";"A"
"1952-T1";"43903";"A"
"1951-T4";"43243";"A"
"1951-T3";"42802";"A"
"1951-T2";"42225";"A"
"1951-T1";"41989";"A"
"1950-T4";"41233";"A"
"1950-T3";"40688";"A"
"1950-T2";"39064";"A"
"1950-T1";"38210";"A"
"1949-T4";"37600";"A"
"1949-T3";"37758";"A"
"1949-T2";"36902";"A"
"1949-T1";"36589";"A"
