Période,TOTAL 
1991-03-31,0.03653295128939815
1991-06-30,0.03553660270078174
1991-09-30,0.030920590302178308
1991-12-31,0.030513176144244092
1992-03-31,0.033172080165860374
1992-06-30,0.0329444063143447
1992-09-30,0.036809815950920255
1992-12-31,0.032301480484522305
1993-03-31,0.017391304347825987
1993-06-30,0.019933554817275656
1993-09-30,0.013149243918474607
1993-12-31,0.010430247718383301
1994-03-31,0.021696252465483346
1994-06-30,0.024104234527687174
1994-09-30,0.026606099935106986
1994-12-31,0.024516129032258194
1995-03-31,0.027027027027026973
1995-06-30,0.0330788804071247
1995-09-30,0.022123893805309658
1995-12-31,0.023929471032745564
1996-03-31,0.041979949874686895
1996-06-30,0.025246305418719084
1996-09-30,0.04081632653061229
1996-12-31,0.027060270602706105
1997-03-31,0.007215874924834553
1997-06-30,0.008408408408408397
1997-09-30,0.00891265597147961
1997-12-31,0.02934131736526946
1998-03-31,0.03701492537313422
1998-06-30,0.04883859440142935
1998-09-30,0.044758539458185975
1998-12-31,0.03548574752763223
1999-03-31,0.024179620034542326
1999-06-30,0.01873935264054527
1999-09-30,0.029875986471251226
1999-12-31,0.04269662921348316
2000-03-31,0.06070826306913979
2000-06-30,0.06633221850613147
2000-09-30,0.061850027367268856
2000-12-31,0.055495689655172376
2001-03-31,0.05034446210916799
2001-06-30,0.05070569785676948
2001-09-30,0.04329896907216502
2001-12-31,0.03369065849923425
2002-03-31,0.031786074672048414
2002-06-30,0.022885572139303534
2002-09-30,0.025197628458498045
2002-12-31,0.034074074074074145
2003-03-31,0.03520782396088018
2003-06-30,0.02869649805447483
2003-09-30,0.035180722891566374
2003-12-31,0.032473734479465
2004-03-31,0.03353802550779417
2004-06-30,0.04680851063829783
2004-09-30,0.035381750465549366
2004-12-31,0.047641073080481044
2005-03-31,0.0447897623400364
2005-06-30,0.04065040650406493
2005-09-30,0.04901079136690645
2005-12-31,0.040176600441501176
2006-03-31,0.04593175853018372
2006-06-30,0.0503472222222221
2006-09-30,0.04243463351907395
2006-12-31,0.041171477079796404
2007-03-31,0.03554997908824764
2007-06-30,0.040909090909091006
2007-09-30,0.05263157894736836
2007-12-31,0.058295964125560484
2008-03-31,0.052907915993537946
2008-06-30,0.04565303691941236
2008-09-30,0.030078124999999956
2008-12-31,0.003466872110939878
2009-03-31,-0.011507479861910253
2009-06-30,-0.01974183750949121
2009-09-30,-0.021615472127417434
2009-12-31,0.0003838771593092094
2010-03-31,0.019790454016298087
2010-06-30,0.025561580170410547
2010-09-30,0.03449612403100777
2010-12-31,0.03645433614735216
2011-03-31,0.041476407914764035
2011-06-30,0.025679758308157163
2011-09-30,0.020606968902210587
2011-12-31,0.00814513143280271
2012-03-31,0.003288271830471423
2012-06-30,0.01178203240058906
2012-09-30,0.00954478707782691
2012-12-31,0.013220712449504068
2013-03-31,0.009832483612527199
2013-06-30,0.011644832605531175
2013-09-30,0.012363636363636354
2013-12-31,0.01594780717651334
2014-03-31,0.007212405337180039
2014-06-30,0.008633093525179714
2014-09-30,0.0118534482758621
2014-12-31,0.007491972886193299
2015-03-31,0.01575366988900817
2015-06-30,0.019258202567760563
2015-09-30,0.017749378771743096
2015-12-31,0.014164305949008416
2016-03-31,0.01868170602749397
2016-06-30,0.016095171448565315
2016-09-30,0.013603069410533797
2016-12-31,0.026187150837988726
2017-03-31,0.02491349480968852
2017-06-30,0.022382920110192828
2017-09-30,0.027873365450791443
2017-12-31,0.02177611432460025
2018-03-31,0.022957461174881955
2018-06-30,0.0225665207140453
2018-09-30,0.02410445262805494
2018-12-31,0.02397602397602383
2019-03-31,0.020462046204620332
2019-06-30,0.025691699604742935
2019-09-30,0.02419091206276569
2019-12-31,0.02373983739837393
